,custAge,class,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded
60,67.0,retired,married,,no,yes,no,telephone,apr,thu,4,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,999.0,0,no
61,,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999.0,0,no
62,41.0,blue-collar,married,unknown,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
63,,entrepreneur,divorced,university.degree,no,yes,no,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,1.27,5099.1,999.0,2,no
64,37.0,management,married,university.degree,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no
65,30.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,yes
66,58.0,admin.,divorced,high.school,no,no,no,telephone,oct,thu,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,999.0,0,no
67,27.0,blue-collar,single,,no,yes,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999.0,0,no
68,34.0,blue-collar,single,,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,999.0,0,no
69,26.0,student,single,,no,no,no,cellular,nov,fri,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,0.233333333,2,yes
70,29.0,services,married,,no,yes,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,999.0,0,no
71,41.0,technician,married,professional.course,no,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no
72,35.0,admin.,married,,no,no,yes,telephone,jun,thu,5,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no
73,,retired,divorced,university.degree,no,yes,no,cellular,aug,,5,999,1,failure,-2.9,92.201,-31.4,0.834,5076.2,999.0,4,no
74,,technician,single,professional.course,no,no,no,cellular,aug,mon,1,999,1,failure,-2.9,92.201,-31.4,0.861,5076.2,999.0,1,no
75,32.0,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999.0,0,no
76,,admin.,single,university.degree,no,yes,yes,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999.0,0,no
77,44.0,unemployed,divorced,,no,no,no,telephone,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,no
78,26.0,blue-collar,married,,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,999.0,0,no
79,,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,no
80,50.0,management,married,,unknown,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no
81,51.0,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,no
82,,admin.,married,university.degree,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no
83,29.0,self-employed,married,university.degree,unknown,yes,no,telephone,jun,wed,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no
84,29.0,admin.,single,university.degree,no,yes,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no
85,,unemployed,single,basic.4y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,999.0,0,no
86,60.0,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
87,30.0,blue-collar,single,high.school,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,no
88,,technician,married,high.school,no,yes,no,cellular,jul,tue,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999.0,0,yes
89,45.0,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no
90,43.0,self-employed,married,university.degree,unknown,yes,yes,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no
91,53.0,services,married,high.school,no,yes,no,telephone,may,wed,9,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,no
92,36.0,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no
93,,student,married,professional.course,unknown,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no
94,36.0,services,married,high.school,unknown,yes,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,999.0,0,no
95,31.0,admin.,married,high.school,unknown,no,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,no
96,,technician,single,,no,yes,no,cellular,may,fri,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999.0,0,no
97,25.0,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,19,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no
98,52.0,management,divorced,university.degree,no,yes,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999.0,0,no
99,34.0,admin.,single,,no,yes,no,cellular,nov,,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no
100,,housemaid,married,university.degree,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,999.0,0,yes
101,30.0,admin.,married,,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.7,5195.8,999.0,0,no
102,43.0,entrepreneur,married,professional.course,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,999.0,0,no
103,29.0,admin.,married,,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no
104,58.0,technician,married,professional.course,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999.0,0,no
105,29.0,housemaid,single,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,999.0,0,no
106,,technician,married,professional.course,no,yes,yes,telephone,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,3.901,5195.8,999.0,0,no
107,42.0,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no
108,55.0,services,married,basic.9y,no,yes,no,cellular,dec,,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,0.2,4,yes
109,46.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,999.0,0,yes
110,34.0,technician,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999.0,0,no
111,,student,single,high.school,no,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,999.0,3,no
112,30.0,admin.,divorced,,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no
113,,unemployed,single,,no,no,no,cellular,jun,,2,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,999.0,0,no
114,42.0,admin.,divorced,high.school,no,yes,no,cellular,may,,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999.0,1,no
115,52.0,services,married,basic.4y,no,yes,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,no
116,33.0,blue-collar,single,,unknown,yes,no,telephone,jun,,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999.0,0,no
117,35.0,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no
118,44.0,admin.,single,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
119,45.0,services,single,high.school,unknown,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,no
120,41.0,services,married,,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no
121,,admin.,single,high.school,no,no,no,telephone,jul,thu,1,999,0,nonexistent,-1.7,94.215,-40.3,0.899,4991.6,999.0,0,no
122,60.0,retired,married,professional.course,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999.0,0,no
123,42.0,technician,married,professional.course,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,yes
124,53.0,blue-collar,married,basic.4y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no
125,48.0,housemaid,married,professional.course,no,yes,no,cellular,jul,wed,2,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,0.2,0,yes
126,,management,married,,no,yes,yes,cellular,jun,thu,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no
127,30.0,admin.,married,high.school,no,yes,no,cellular,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,999.0,0,no
128,45.0,blue-collar,married,,unknown,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,999.0,2,no
129,53.0,unknown,married,high.school,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no
130,,technician,single,professional.course,no,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
131,,admin.,married,basic.9y,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,999.0,2,no
132,59.0,retired,married,basic.4y,no,yes,no,telephone,jun,mon,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no
133,36.0,technician,married,high.school,no,no,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,999.0,3,no
134,,admin.,single,university.degree,no,no,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999.0,0,no
135,34.0,self-employed,single,university.degree,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999.0,0,no
136,57.0,management,married,professional.course,unknown,yes,no,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,no
137,55.0,services,married,high.school,no,yes,no,cellular,aug,,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no
138,27.0,admin.,single,university.degree,no,no,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no
139,38.0,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999.0,0,no
140,,admin.,single,high.school,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no
141,28.0,services,married,high.school,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999.0,0,no
142,,admin.,single,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no
143,58.0,technician,married,,no,no,no,cellular,aug,tue,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,999.0,0,no
144,31.0,blue-collar,married,basic.6y,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,no
145,29.0,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999.0,0,no
146,37.0,technician,single,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no
147,35.0,admin.,single,,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,999.0,0,no
148,,unemployed,single,university.degree,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
149,65.0,self-employed,married,professional.course,no,no,no,telephone,apr,tue,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no
150,39.0,technician,single,professional.course,no,no,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
151,29.0,services,divorced,,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999.0,0,no
152,29.0,admin.,married,basic.6y,no,yes,no,cellular,may,fri,6,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999.0,2,no
153,42.0,admin.,divorced,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
154,53.0,admin.,married,,no,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,yes
155,39.0,blue-collar,married,basic.9y,no,yes,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,999.0,5,no
156,48.0,housemaid,married,basic.6y,no,yes,no,cellular,nov,wed,4,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,999.0,2,no
157,32.0,admin.,single,university.degree,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,yes
158,,blue-collar,married,basic.4y,unknown,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,999.0,2,no
159,38.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,no
160,27.0,technician,single,high.school,no,yes,no,cellular,jul,mon,11,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
161,30.0,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no
162,31.0,entrepreneur,single,university.degree,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,no
163,39.0,technician,married,high.school,no,no,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,no
164,,student,single,high.school,no,yes,yes,telephone,may,wed,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999.0,1,no
165,26.0,blue-collar,single,,no,yes,yes,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999.0,2,no
166,46.0,admin.,single,high.school,no,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999.0,0,no
167,33.0,admin.,single,,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,-1.7,94.215,-40.3,0.793,4991.6,999.0,0,no
168,39.0,admin.,single,,unknown,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no
169,,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999.0,1,no
170,,technician,married,university.degree,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no
171,,technician,married,professional.course,unknown,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no
172,26.0,unemployed,single,basic.9y,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
173,32.0,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,no
174,,admin.,single,high.school,no,no,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,999.0,0,yes
175,34.0,management,married,university.degree,no,yes,no,telephone,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999.0,4,no
176,59.0,retired,divorced,university.degree,no,no,no,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999.0,0,yes
177,,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,no
178,,technician,single,professional.course,no,no,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,999.0,0,yes
179,40.0,self-employed,married,,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999.0,0,no
180,,technician,single,high.school,no,yes,yes,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no
181,,technician,single,university.degree,unknown,unknown,unknown,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no
182,,services,single,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
183,,technician,single,university.degree,unknown,yes,yes,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,no
184,,technician,married,,no,no,yes,cellular,apr,tue,1,5,2,success,-1.8,93.749,-34.6,0.638,5008.7,0.166666667,2,yes
185,48.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no
